rho_Lorenz;lambda_1;lambda_2;lambda_3
166.0;0.5874206929910494;-0.32571705283668306;-13.676249422125998
166.01;1.1219864408112312;-0.017216800637481815;-14.524677513874513
166.02;0.25646807153747203;-0.5334496995829359;-13.134523961111848
166.03;0.6668527365077115;-0.14713724886041402;-13.934795283142023
166.04;0.8139102256402384;-0.04221275572005619;-14.18768890320066
166.05;0.5233927428731796;-0.17253861123081382;-13.765828009288793
166.06;0.9301369229050911;-0.048083632185818896;-14.299047226051627
166.07;0.2483641837216464;-0.07383324961603206;-13.585954722391358
166.08;0.5296666614462416;-0.00399308354439604;-13.940941924993465
166.09;1.000202768833253;-0.06074906405993137;-14.356887871929361
166.1;0.5650452205921994;-0.0018678331424889973;-13.979527558573091
166.11;0.19578177089492887;-0.022334540796006944;-13.584969044717582
166.12;0.43213683145601367;-0.15667796295336475;-13.688049664307147
166.13;1.2624835684147342;0.044894622608723414;-14.727944225685249
166.14;0.8603045732241514;-0.00028709363108242887;-14.281751451902275
166.15;0.9006766523722043;-0.08392007383445707;-14.235227713795325
166.16;0.7208020902732248;-0.0626113119396316;-14.076034190771436
166.17;1.0038798586882454;-0.05255713923036215;-14.368443509622631
166.18;0.9710169385904261;-0.08072686856233112;-14.306457597619923
166.19;1.1848027789116855;-0.11462668669335337;-14.489364255649875
166.2;1.0972564259595197;0.07052822319061867;-14.588760872459721
166.21;0.6903916252621013;-0.11512306659038851;-13.99128632331325
166.22;0.6989183806700301;0.024893120084210203;-14.14053326102721
166.23;1.3127239507754271;0.027123748413709795;-14.761548659636468
166.24;1.364954506842888;0.08513919568293947;-14.871431885372147
166.25;0.8671435360604456;0.04897319171531035;-14.333423036011203
166.26;1.0076911697403828;0.04917168442356616;-14.477595156420689
166.27;1.1888879790163862;0.06336687549990694;-14.676300455465732
166.28;0.5036798126958888;0.0004015858226212887;-13.918787337536507
166.29;1.019188715482245;0.001781364431315432;-14.438322269375572
166.3;0.8128199834601996;0.059603464793496645;-14.29021655300681
166.31;1.0205095940491324;0.01032261398891532;-14.44990532367667
166.32;1.2107852035152853;0.047676454375581365;-14.680565685193438
166.33;1.1957679176509524;0.065789797750035;-14.682212408478401
166.34;0.9202185361391451;-0.07273007403081402;-14.26582907913592
166.35;0.7519495253974915;-0.005579612556050092;-14.163162622675397
166.36;1.0205880489797705;-0.002988625269728658;-14.436398341168347
166.37;1.2047354229498795;0.04631308363311839;-14.671527495232558
166.38;0.6500525350107402;0.024219157454557765;-14.089634673860402
166.39;0.5277500071956979;0.009493642360980615;-13.951820602398891
166.4;1.267527020518661;0.07892790100996121;-14.766497771402152
166.41;0.6981201796897315;0.04279778989298093;-14.158173529431915
166.42;1.171019139245965;0.022630508558111228;-14.61510362900695
166.43;1.5020468887103045;0.0688965220517126;-14.994509781369223
166.44;1.75022356986824;0.1329216290212117;-15.307016673776403
166.45;0.6407511142224277;0.10727995427355809;-14.161064910870664
166.46;0.845654444259657;0.019691821594859434;-14.281638949352724
166.47;0.669089384819846;0.039267914046127284;-14.124103222191424
166.48;0.996190081225937;-0.023436872482861828;-14.393277346282764
166.49;0.8828992292285592;0.06235301837941076;-14.363279678030576
166.5;1.5118929161384917;0.08934033722506438;-15.024832728515328
166.51;1.309784953953659;0.06839024244858231;-14.799495815384285
