rho_Lorenz;lambda_1;lambda_2;lambda_3
98.0;1.8173566045119178;0.01393428015981637;-15.382417972271567
99.0;1.7075962656890094;0.023520056433316405;-15.278323919520032
99.524;1.6239642597766044;0.02057084503503733;-15.185389390102378
100.0;1.1206474147840686;0.021449644827930495;-14.687710796669643
100.795;1.247351685346478;-0.09083462253571158;-14.700783551203846
101.0;0.2454737968943025;-0.2399062079756334;-13.55048930284004
102.0;1.7186845228578012;0.030973105436984043;-15.284506135278875
103.0;1.8232908005946407;0.02939140707427325;-15.386238555821569
104.0;1.8849819314859502;0.02500861059895125;-15.445303613171593
105.0;1.6515407302090748;0.023044240050447366;-15.203022363583443
106.0;1.9822112084299888;0.009388658513262229;-15.525277737025045
107.0;1.7405179157818922;0.02509826273808302;-15.293018934239651
108.0;1.7055768571357655;0.034147796662154076;-15.263066151855963
109.0;1.7319837093955726;0.031262007751523886;-15.287028758544269
110.0;1.602521537522044;0.030445741623624314;-15.153105083576364
111.0;1.7814226968756766;0.0222840411772099;-15.327904793790879
112.0;1.9384720180046497;0.022802212675012066;-15.487812035209226
113.0;1.7889581325780477;0.03921107432916892;-15.34206678634563
114.0;1.7825522557164184;0.04793091824654379;-15.338966101547761
115.0;1.7774200277293242;0.048861162198638855;-15.33228883696152
116.0;2.0007501042565545;0.03282904354746922;-15.543798078549285
117.0;1.804238685804569;0.05077082431905995;-15.35753781297042
118.0;1.8351473342741393;0.045042889242956664;-15.383157394057603
119.0;1.7003686900043542;0.05633168489969549;-15.250921325238178
120.0;2.0233998740729335;0.03712905307968634;-15.564045458863841
121.0;1.5832641928615498;0.051759042357409954;-15.126618273672047
122.0;1.8836811090876078;0.037036054864554996;-15.419012265487934
123.0;1.8133679508138412;0.04063940932040728;-15.349067929021246
124.0;1.8676863685966265;0.039313935477175724;-15.403039108339952
125.0;1.9579071626708504;0.03239063721609943;-15.488696183127017
126.0;1.6138884504889097;0.040466111290836125;-15.144438762083189
127.0;1.5410333397365898;0.05377070977455871;-15.07956354820194
128.0;1.6427905296157284;0.0467788580023588;-15.175093957186093
129.0;1.6304868283857104;0.05003256714672183;-15.163065208481408
130.0;1.7920779275020358;0.05109211047955786;-15.328062740651772
131.0;1.6205735835196802;0.044612198389582434;-15.147330461428423
132.0;1.5853677122589938;0.0457439337051512;-15.111596508019838
133.0;1.6185181953233678;0.05240277733033513;-15.151633934901602
134.0;1.8372375141388304;0.005365081048184454;-15.327207842625333
135.0;1.6860992976403721;0.01853382505227098;-15.184945031874413
136.0;2.179499475666104;0.034597026810878145;-15.7001457142084
137.0;1.860719048135285;0.047945127930292736;-15.387621930663547
138.0;1.8476465242594577;0.032114035907836805;-15.354565434358792
139.0;1.9114247453481676;0.04126001746950775;-15.428617829062102
140.0;1.7288103236561179;0.04222346293005425;-15.239681537293857
141.0;1.742824682911771;0.031882587498865404;-15.242324338362339
142.0;1.5290527409141155;0.03971283335707463;-15.03091398752363
143.0;1.2919146931082406;0.03981385225114266;-14.78705747212349
144.0;1.197678270670828;0.06112289175285875;-14.711096732328322
145.0;0.8535000751083481;0.06036413523288028;-14.359450926593631
146.0;0.6599447391726797;0.029958317525243833;-14.133529497087979
147.0;0.33350325782746487;0.019175547432698326;-13.793592210440092
148.0;0.2734471979932596;0.056112282401456826;-13.767250200632356
148.4;0.2687180109904635;-0.48755570722564534;-13.218886646230374
149.0;0.2319179550906088;-0.40190422277157756;-13.26624255022599
150.0;0.18671171603645398;-0.2605526110657069;-13.357388595597227
151.0;0.16108373549416338;0.02018934215892979;-13.609603701572103
152.0;0.3525615804958957;0.043736661614181244;-13.823449127257948
153.0;0.40293294183037487;0.05921074248465631;-13.887062546204085
154.0;0.5503279035241556;0.08458074536685663;-14.058148810569161
155.0;0.4209954579894047;0.09478638715546163;-13.935506535297836
156.0;0.2876371349612893;0.09185325662565036;-13.798156117463375
157.0;0.19733942751455863;0.034435925153180315;-13.649011808540338
158.0;0.21205728448083364;-0.15177753467839208;-13.476959003191137
159.0;0.15614843376930515;-0.37904661583005755;-13.19079519932731
160.0;0.17183996061474832;-0.6770374942297743;-12.908305272835223
161.0;0.1405078532594599;-1.0394590730757087;-12.512477218564444
162.0;0.447122646138974;-1.592659870716651;-12.269004419780956
163.0;0.13395448254851716;-3.8105630222474143;-9.732571948302816
164.0;0.1804301029066152;-3.388694045101674;-10.200973278063755
165.0;0.1984338013792212;-1.380595773950707;-12.22834489916139
166.0;0.5874206929910494;-0.32571705283668306;-13.676249422125998
166.07;0.2483641837216464;-0.07383324961603206;-13.585954722391358
167.0;1.4579676442214893;0.04559564987092724;-14.926064516904212
168.0;1.938888628718205;0.05397493786120057;-15.416491614674655
169.0;2.282433419269758;0.06621333747809505;-15.77288304311147
170.0;2.5154294461091946;0.037857912740744674;-15.980012093264893
171.0;2.4919500923058853;0.07438528072569706;-15.983177840698067
172.0;2.33451961132397;0.07404897253341645;-15.825166310225516
173.0;2.4541822962765627;0.06307923672440245;-15.931506289142224
174.0;2.5105942275579505;0.07074148274847633;-15.993884188340878
175.0;2.5701056201321184;0.06999775908300727;-16.055066664272108
176.0;2.4200558302079282;0.1301043220525444;-15.956705205819853
